traffic_direction,rate,time_slot
841 841 Telecom Italia,0.00000000,flat
Afghanistan,0.31135104,flat
"Afghanistan, AWCC mobile",0.28014336,flat
"Afghanistan, Etisalat mobile",0.29051136,flat
"Afghanistan, mobile",0.31363200,flat
"Afghanistan, MTN mobile",0.32607360,flat
"Afghanistan, Roshan mobile",0.30098304,flat
"Afghanistan, Wasel mobile",0.34909056,flat
Alaska,0.04800384,flat
Albania,0.15883776,flat
Albania OLO,0.25920000,flat
"Albania, mobile",0.41942400,flat
"Albania, mobile AMC",0.43058304,flat
"Albania, mobile Eagle",0.41181696,flat
"Albania, mobile Plus",0.46417536,flat
"Albania, mobile Vodafone",0.28843776,flat
"Albania, Tirana",0.15883776,flat
Algeria,0.08781696,flat
"Algeria, Algeri",0.08138880,flat
"Algeria, mobile",0.17760384,flat
"Algeria, mobile Orascom",0.40559616,flat
"Algeria, mobile Telecom",0.30513024,flat
"Algeria, mobile Wataniya",0.53934336,flat
"Algeria, satellite",0.39087360,flat
Andorra,0.03545856,flat
"Andorra, mobile",0.28014336,flat
Angola,0.11695104,flat
"Angola, mobile",0.10233216,flat
Anguilla,0.09611136,flat
"Anguilla, mobile",0.29683584,flat
Antarctica,2.13891840,flat
Antarctica Global Networks,5.11214976,flat
Antigua & Barbuda,0.19440000,flat
"Antigua & Barbuda, mobile",0.34909056,flat
Argentina,0.03753216,flat
"Argentina, Buenos Aires",0.00829440,flat
"Argentina, Cities",0.01451520,flat
"Argentina, Corridor",0.01036800,flat
"Argentina, mobile",0.12545280,flat
Armenia,0.14204160,flat
Armenia other,0.20912256,flat
"Armenia, mobile",0.24033024,flat
Aruba,0.16298496,flat
"Aruba, mobile",0.30720384,flat
Ascension Island,2.11590144,flat
Australia,0.02094336,flat
"Australia, metro",0.01451520,flat
"Australia, mobile",0.10025856,flat
"Australia, satellite",3.48541056,flat
Australian External Territories,2.69495424,flat
Austria,0.02301696,flat
"Austria, mobile",0.02301696,flat
"Austria, mobile 3G Mobile",0.05007744,flat
"Austria, mobile Hutchison 3G",0.04800384,flat
"Austria, mobile Mobilcom",0.05007744,flat
"Austria, mobile Mobile One",0.04800384,flat
"Austria, mobile Telering",0.04800384,flat
"Austria, mobile T-Mobile",0.04800384,flat
"Austria, Special Services",0.02509056,flat
"Austria, Vienna",0.02301696,flat
Azerbaijan,0.30720384,flat
"Azerbaijan, mobile",0.46624896,flat
Azores,0.01866240,flat
Bahamas,0.13374720,flat
"Bahamas, mobile",0.24447744,flat
Bahrain,0.10025856,flat
"Bahrain, mobile",0.10865664,flat
Bangladesh,0.05215104,flat
"Bangladesh, Chittaong",0.04178304,flat
"Bangladesh, Dhaka",0.04800384,flat
"Bangladesh, mobile",0.04800384,flat
"Bangladesh, Sylhet",0.04800384,flat
Barbados,0.12960000,flat
"Barbados, mobile",0.29890944,flat
Belarus,0.48501504,flat
"Belarus, mobile",0.48916224,flat
Belgium,0.02094336,flat
"Belgium, mobile",0.44217600,flat
"Belgium, mobile Base",0.03131136,flat
"Belgium, mobile Mobistar",0.03131136,flat
"Belgium, mobile others",0.02923776,flat
"Belgium, mobile Proximus",0.03131136,flat
"Belgium, Special Services",0.03131136,flat
Belize,0.33022080,flat
"Belize, mobile",0.33229440,flat
Benin,0.32400000,flat
"Benin, mobile",0.29251200,flat
"Benin, mobile Bell Benin",0.32400000,flat
"Benin, mobile GLOMOB",0.32400000,flat
"Benin, mobile Libercom",0.32400000,flat
"Benin, mobile MTN",0.32192640,flat
"Benin, mobile TELCEL",0.32192640,flat
Bermuda,0.05837184,flat
"Bermuda, mobile",0.05422464,flat
Bhutan,0.13789440,flat
Bolivia,0.11487744,flat
"Bolivia, La Paz",0.09818496,flat
